Brand,Name,Boarding_time,Km,Discharge,New_price,Sec_price
宝马,宝马3系(进口) 2012款 四门轿车 318i 2.0L A/MT,2011年12月,4.70万公里,国4,37.77万,13.8
宝马,宝马3系(进口) 2012款 四门轿车 318i 2.0L A/MT,2012年12月,8.00万公里,国4,37.77万,14.8
宝马,宝马3系(进口) 2012款 四门轿车 318i 2.0L A/MT,2011年12月,7.00万公里,国4,37.77万,13.6
本田,CR-V 2007款 i-VTEC 2.0L 自动四驱,2008年12月,13.00万公里,国3,25.05万,8.58
本田,雅阁 2008款 EX 2.0L 自动标准版,2009年1月,9.00万公里,国4,21.69万,8.58
本田,CR-V 2006款 i-VTEC 2.0L 自动四驱,2006年5月,14.00万公里,国3,25.05万,4.68
本田,雅阁 2004款 2.0L AT 标准型,2004年2月,11.60万公里,国2,24.94万,3.12
本田,雅阁 2007款 2.0L 自动标准版,2006年6月,9.40万公里,国4,22.77万,3.58
本田,雅阁 2008款 EX 2.0L 自动标准版,2008年1月,11.00万公里,国4,21.69万,6.18
本田,雅阁 2007款 2.0L 自动标准版,2006年6月,9.60万公里,国4,22.77万,3.58
本田,雅阁 2008款 EX 2.0L 自动标准版,2009年8月,5.30万公里,国4,21.69万,9
本田,雅阁 2004款 2.0L AT 标准型,2004年8月,12.00万公里,国2,24.94万,3.25
本田,雅阁 2016款 2.0L CVT 精英版,2016年5月,1.30万公里,国5,20.60万,14.9
本田,雅阁 2007款 2.0L 自动标准版,2006年6月,11.00万公里,国4,22.77万,3.68
本田,CR-V 2006款 i-VTEC 2.0L 自动四驱,2006年1月,11.00万公里,国3,25.05万,4.98
本田,CR-V 2013款 2.0L 两驱 经典版,2013年9月,4.00万公里,国4,22.56万,15.5
本田,雅阁 2015款 2.0L LX 舒适版,2017年4月,百公里内,国5,19.52万,16.15
本田,雅阁 2007款 2.0L 手动普通版,2006年6月,15.00万公里,国4,21.69万,3.28
本田,雅阁 2007款 2.0L 自动标准版,2006年6月,15.00万公里,国4,22.77万,3.58
本田,CR-V 2013款 2.0L 两驱 经典版,2013年8月,6.00万公里,国4,22.56万,13.8
本田,雅阁 2015款 2.0L LXS 精英版,2016年10月,1.52万公里,国5,20.60万,14.96
本田,雅阁 2016款 2.0L CVT 舒适版,2017年7月,0.05万公里,国5,19.52万,15.6
本田,雅阁 2010款 2.0L 自动庆典版,2009年8月,9.00万公里,国4,21.69万,8.58
本田,雅阁 2008款 EX 2.0L 自动标准版,2009年11月,9.00万公里,国4,21.69万,7.7
本田,CR-V 2012款 2.0L 两驱 都市版,2014年10月,10.30万公里,国4,21.04万,13.4
本田,CR-V 2015款 2.0L 两驱 都市版,2016年4月,4.77万公里,国5,20.60万,15.5
本田,CR-V 2015款 2.0L 两驱 都市版,2016年4月,4.77万公里,国5,20.60万,15.5
本田,CR-V 2005款 i-VTEC 2.0L 自动四驱,2005年11月,10.00万公里,国2,26.03万,3.7
本田,CR-V 2015款 2.0L 两驱 经典版,2015年6月,2.53万公里,国5,19.52万,14.62
本田,雅阁 2004款 2.0L AT 标准型,2004年12月,18.00万公里,国2,24.94万,3.18
本田,CR-V 2016款 2.0L 两驱 都市版,2017年3月,1.02万公里,国5,20.60万,14.8
别克,君威 2014款 2.0L 自动 精英时尚型,2014年11月,3.70万公里,国5,21.05万,12.3
别克,君威 2011款 2.0L 舒适版,2011年6月,6.80万公里,国4,20.07万,8.18
别克,君威 2011款 2.0L 精英版,2011年8月,4.89万公里,国4,22.13万,7.68
别克,君威 2014款 2.0L 自动 精英时尚型,2014年6月,3.00万公里,国5,21.05万,10.49
别克,君威 2011款 2.0L 精英版,2011年3月,3.60万公里,国4,22.13万,8.2
别克,君威 2012款 2.0L 自动 舒适版,2012年7月,11.00万公里,国4,20.18万,9.5
别克,君威 2011款 2.0L 精英版,2011年5月,6.00万公里,国4,22.13万,8.2
别克,君威 2014款 2.0L 自动 精英时尚型,2015年3月,2.12万公里,国5,21.05万,12.9
别克,君威 2011款 2.0L 精英版,2011年6月,6.30万公里,国4,22.13万,8.3
别克,君威 2014款 2.0L 自动 精英时尚型,2015年3月,2.12万公里,国5,21.05万,12.9
别克,君威 2014款 2.0L 自动 领先时尚型,2016年6月,1.60万公里,国5,19.42万,12.8
别克,君威 2012款 2.0L 自动 豪华版,2012年7月,4.20万公里,国4,22.13万,8.8
别克,君威 2012款 2.0L 自动 舒适版,2013年8月,3.51万公里,国4,20.18万,8.9
别克,君威 2012款 2.0L 自动 舒适版,2012年9月,5.30万公里,国4,20.18万,8.5
别克,君威 2012款 2.0L 自动 豪华版,2012年4月,5.60万公里,国4,22.13万,9.1
别克,君威 2014款 2.0L 自动 精英时尚型,2015年2月,5.40万公里,国5,21.05万,13
别克,君威 2011款 2.0L 精英版,2011年10月,6.31万公里,国4,22.13万,8.08
别克,君威 2011款 2.0L 精英版,2011年6月,4.20万公里,国4,22.13万,8.15
别克,君威 2012款 2.0L 自动 舒适版,2012年9月,8.80万公里,国4,20.18万,9.5
别克,君威 2012款 2.0L 自动 舒适版,2012年12月,8.70万公里,国4,20.18万,9.8
别克,君威 2012款 2.0L 自动 豪华版,2012年8月,9.40万公里,国4,22.13万,8.6
别克,君威 2012款 2.0L 自动 舒适版,2013年3月,4.00万公里,国4,20.18万,9.78
别克,君威 2012款 2.0L 自动 舒适版,2012年6月,9.50万公里,国4,20.18万,8.6
别克,君威 2011款 2.0L 舒适版,2012年3月,10.25万公里,国4,20.07万,8.18
别克,君威 2014款 2.0L 自动 领先时尚型,2016年6月,3.02万公里,国5,19.42万,11.88
别克,君威 2012款 2.0L 自动 舒适版,2013年3月,6.70万公里,国4,20.18万,9.3
别克,君威 2012款 2.0L 自动 豪华版,2012年11月,8.00万公里,国4,22.13万,9.8
别克,君威 2012款 2.0L 自动 豪华版,2012年8月,4.20万公里,国4,22.13万,9.2
别克,君威 2012款 2.0L 自动 豪华版,2012年11月,8.38万公里,国4,22.13万,9.58
别克,君威 2014款 2.0L 自动 领先时尚型,2016年6月,3.02万公里,国5,19.42万,11.68
比亚迪,比亚迪S6 2013款 2.0L 手动 精英型 劲悦版,2013年5月,3.20万公里,国4,9.76万,4.98
比亚迪,比亚迪G6 2013款 2.0L 手动 尊贵型,2013年2月,4.62万公里,国4,9.64万,5.2
比亚迪,比亚迪S6 2013款 2.0L 手动 精英型 劲悦版,2013年5月,3.20万公里,国4,9.76万,4.98
比亚迪,比亚迪S6 2012款 2.0L 手动 豪华型,2012年7月,7.00万公里,国4,9.76万,4.58
比亚迪,比亚迪S6 2011款 2.0L 手动 豪华型,2011年11月,7.80万公里,国4,9.76万,5.5
比亚迪,比亚迪S6 2013款 2.0L 手动 豪华型 白金版,2013年4月,7.38万公里,国4,8.67万,3
比亚迪,比亚迪S6 2012款 2.0L 手动 豪华型,2012年7月,7.20万公里,国4,9.76万,4.64
比亚迪,比亚迪F6 2009款 新财富版 2.0L舒适型 GL―i,2009年5月,13.80万公里,国4,9.75万,2
比亚迪,比亚迪G6 2012款 2.0L 手动 尊贵型,2012年4月,18.28万公里,国4,9.64万,3.5
比亚迪,比亚迪G6 2013款 2.0L 手动 尊贵型,2013年2月,4.62万公里,国4,9.64万,5.2
比亚迪,比亚迪S6 2014款 2.0L 手动 豪华型,2015年3月,2.92万公里,国4,8.67万,5
比亚迪,比亚迪S6 2013款 2.0L 手动 精英型 劲悦版,2014年12月,5.50万公里,国4,9.76万,5.38
标致,标致3008 2013款 2.0L 自动 潮流版,2014年10月,5.40万公里,国4,20.27万,10.98
标致,标致408 2011款 2.0L 自动 舒适版,2011年9月,6.95万公里,国4,15.40万,5
标致,标致408 2010款 2.0L 自动舒适版,2010年4月,7.32万公里,国4,15.40万,4.88
标致,标致408 2010款 2.0L 自动豪华版,2010年8月,8.00万公里,国4,16.92万,5.88
标致,标致307 2007款 三厢 2.0L自动舒适象牙内饰版,2008年11月,6.00万公里,国3,14.96万,2.8
标致,标致508 2013款 2.0L 自动 智享版 两周年纪念版,2013年6月,6.10万公里,国5,22.22万,9.3
标致,标致3008 2013款 2.0L 自动 潮流版,2014年10月,6.50万公里,国4,20.27万,12.68
标致,标致408 2013款 2.0L 自动 舒适版,2014年6月,9.00万公里,国4,15.62万,7.3
标致,标致408 2010款 2.0L 自动舒适版,2010年12月,6.60万公里,国4,15.40万,4.98
标致,标致3008 2013款 2.0L 自动 潮流版,2014年10月,5.40万公里,国4,20.27万,10.98
标致,标致408 2010款 2.0L 自动豪华版,2011年7月,7.10万公里,国4,16.92万,5.68
标致,标致3008 2015款 2.0L 自动 潮流版,2016年5月,4.50万公里,国5,20.27万,12.5
标致,标致408 2012款 2.0L 自动 豪华版 罗兰加洛斯版,2012年1月,9.00万公里,国4,17.36万,7.38
标致,标致307 2007款 三厢 2.0L自动尊享钛金内饰版,2008年12月,7.90万公里,国3,18.00万,2.4
标致,标致3008 2013款 2.0L 自动 潮流版,2014年10月,5.41万公里,国4,20.27万,10.78
标致,标致408 2011款 2.0L 自动 舒适版,2013年2月,9.00万公里,国4,15.40万,6
标致,标致408 2011款 2.0L 自动 舒适版,2011年9月,6.95万公里,国4,15.40万,5
标致,标致408 2011款 2.0L 自动 舒适版,2013年9月,8.80万公里,国4,15.40万,6.5
标致,标致408 2013款 2.0L 自动 豪华版,2013年1月,5.84万公里,国4,17.14万,6.5
标致,标致3008 2013款 2.0L 自动 潮流版,2014年11月,4.80万公里,国4,20.27万,11.1
奔腾,奔腾B70 2014款 2.0L 手动 豪华型,2015年8月,3.29万公里,国5,11.92万,7.5
北汽制造,BJ 212 2016款 2.0L 方门 四驱豪华型 国5,2016年2月,2.00万公里,国5,7.42万,4.88
长安,长安CS75 2014款 2.0L 手动 豪华型 国V,2015年7月,3.50万公里,国5,12.90万,8
长安,长安CS75 2014款 2.0L 手动 领先型 国IV,2015年11月,2.20万公里,国4,13.66万,9.8
长安,长安CS75 2016款 2.0L 手动 豪华型 国V,2016年8月,2.80万公里,国5,10.72万,8
长安,长安CS75 2016款 2.0L 手动 豪华型 国V,2016年8月,2.80万公里,国5,10.72万,8
大众,夏朗 2012款 2.0L TSI 舒适型,2013年5月,4.80万公里,国4,39.55万,19.38
大众,帕萨特 2003款 2.0L自动标准型,2004年9月,16.00万公里,--,21.25万,1.88
大众,朗逸 2009款 2.0L 手动品悠版,2009年10月,7.00万公里,国4,12.68万,4.88
大众,帕萨特 2008款 2.0L自动经典型,2009年3月,8.00万公里,国3,16.61万,4.8
大众,帕萨特 2009款 领驭 2.0L MFI 自动尊享型,2010年1月,6.80万公里,国4,19.52万,7.6
大众,朗逸 2009款 2.0L 自动品雅版,2009年9月,9.07万公里,国4,15.07万,5.68
大众,途安 2008款 2.0L智享版 自动挡5座,2010年1月,10.90万公里,国4,17.56万,5.4
大众,朗逸 2011款 2.0L 自动品悠版,2011年6月,7.92万公里,国4,13.98万,5.68
大众,高尔夫 2012款 GTI 2.0L 双离合 舒适版,2013年6月,5.30万公里,国4,25.60万,14.98
大众,帕萨特 2006款 领驭 2.0L MFI手动标准型,2006年12月,8.00万公里,国3,19.95万,3.3
大众,高尔夫 2012款 GTI 2.0L 双离合 舒适版,2013年10月,2.70万公里,国4,25.60万,15.5
大众,高尔夫 2004款 2.0L 手动舒适型,2004年6月,11.20万公里,国2,18.67万,3.3
大众,途安 2008款 2.0L智享版 手动挡5座,2008年4月,9.00万公里,国4,16.26万,4.9
大众,途安 2008款 2.0L智享版 自动挡5座,2009年11月,8.00万公里,国4,17.56万,5.7
大众,途安 2008款 2.0L智享版 手动挡5座,2010年2月,8.00万公里,国4,16.26万,6
大众,帕萨特 2008款 2.0L自动经典型,2009年3月,9.00万公里,国3,16.61万,4.8
大众,夏朗 2012款 2.0L TSI 标配型,2012年4月,6.00万公里,国4,34.08万,16.8
大众,朗逸 2009款 2.0L 自动品轩版,2009年7月,9.50万公里,国4,16.26万,4.7
大众,夏朗 2012款 2.0L TSI 舒适型,2012年10月,6.50万公里,国4,39.55万,16.8
大众,夏朗 2012款 2.0L TSI 豪华型,2012年9月,7.10万公里,国4,45.92万,19.98
大众,帕萨特 2006款 2.0L手动超值型,2006年12月,9.00万公里,国2,19.52万,2.2
大众,桑塔纳 2006款 3000 2.0L 手动豪华型,2007年8月,9.00万公里,国4,13.33万,1.68
大众,宝来 2008款 2.0L 自动舒适型,2010年6月,8.00万公里,国4,14.85万,5.68
大众,帕萨特 2003款 2.0L自动基本型,2004年3月,31.00万公里,--,21.01万,2
大众,夏朗 2014款 2.0L TSI 舒适型,2015年6月,6.00万公里,国5,39.03万,20.8
大众,途安 2007款 2.0L 自动智享版5座,2007年6月,15.00万公里,国3,19.52万,3.68
大众,帕萨特 2009款 领驭 2.0L MFI 自动尊享型,2010年2月,11.60万公里,国4,19.52万,6.5
大众,朗逸 2008款 2.0L手动品轩版,2009年6月,17.00万公里,国4,14.96万,4.1
东风风行,菱智 2014款 M5-Q3 2.0L 手动 7座长轴舒适型,2014年3月,5.60万公里,国4,10.84万,4.2
东风风行,菱智 2013款 M5 Q3长车 2.0L 手动 舒适型 7座,2014年2月,4.60万公里,国4,10.84万,4.8
东风风行,菱智 2013款 M5 Q3长车 2.0L 手动 舒适型 7座,2014年6月,5.20万公里,国4,10.84万,4.75
东风风行,菱智 2015款 M5-Q7系列 2.0L 手动 7座 舒适型 加长轴距版,2015年5月,3.70万公里,国4,8.89万,5.8
东风风神,风神AX7 2015款 2.0L 自动 智逸型,2016年8月,2.09万公里,国5,15.16万,9.5
东风风神,风神AX7 2015款 2.0L 自动 智悦型,2015年4月,2.63万公里,国5,13.86万,8.1
道奇,酷搏 2011款 2.0L 自动 SXT经典版,2012年1月,8.00万公里,国4,21.70万,9.38
东风,帅客 2012款 2.0L 自动 豪华型 ZN6441V1R4(国IV+OBD),2014年5月,5.00万公里,国4,11.70万,5
丰田,RAV4荣放 2013款 2.0L 自动 特享精英版,2013年8月,2.00万公里,国4,23.86万,13.6
丰田,丰田86 2017款 2.0L 手动 豪华型,2017年4月,0.60万公里,国5,30.15万,30.8
丰田,丰田86 2017款 2.0L 手动 豪华型,2016年12月,0.60万公里,国5,30.15万,29.88
丰田,RAV4荣放 2015款 2.0L CVT 两驱 风尚版,2015年8月,6.70万公里,国5,21.69万,14.98
丰田,RAV4荣放 2009款 2.0L 豪华版 AT,2010年4月,11.30万公里,国4,23.64万,10
丰田,RAV4荣放 2009款 2.0L 豪华版 AT,2010年4月,11.30万公里,国4,23.64万,10
丰田,凯美瑞 2012款 经典版 2.0L 200E 精英版,2012年9月,10.00万公里,国4,19.84万,9
丰田,逸致 2012款 2.0L 自动 至尊导航版,2013年4月,6.00万公里,国4,26.03万,10.93
丰田,RAV4荣放 2011款 2.0L 自动豪华版,2011年6月,6.69万公里,国4,24.94万,11.8
丰田,RAV4荣放 2010款 2.0L 豪华升级版 AT,2010年9月,8.90万公里,国4,24.73万,9.98
丰田,RAV4荣放 2012款 2.0L 自动 经典版,2013年2月,6.00万公里,国4,21.47万,13.9
丰田,RAV4荣放 2011款 2.0L 自动豪华版,2011年12月,8.60万公里,国4,24.94万,10.68
丰田,凯美瑞 2012款 经典版 2.0L 200E 精英版,2014年6月,5.00万公里,国4,19.84万,12.8
丰田,RAV4荣放 2013款 2.0L CVT 风尚版,2013年12月,6.00万公里,国4,23.64万,13.99
丰田,RAV4荣放 2013款 2.0L 自动 特享精英版,2014年10月,6.00万公里,国4,23.86万,18
丰田,RAV4荣放 2011款 2.0L 自动经典版,2013年11月,11.16万公里,国4,21.47万,11.5
丰田,RAV4荣放 2011款 2.0L 自动经典版,2013年11月,11.16万公里,国4,21.47万,11.5
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型导航版 国4,2011年8月,6.00万公里,国4,26.25万,8.8
福特,福克斯 2012款 三厢 2.0L 自动 旗舰型,2012年7月,6.50万公里,国4,18.44万,6.6
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年3月,8.47万公里,国4,25.81万,9.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年11月,5.91万公里,国4,23.64万,8.58
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年12月,9.50万公里,国2,21.69万,2.3
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年5月,6.00万公里,国4,23.64万,8.68
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年7月,4.20万公里,国4,23.64万,8.35
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年3月,4.60万公里,国4,23.64万,9
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年5月,4.50万公里,国4,23.64万,8.98
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 至尊型 国4,2012年6月,4.50万公里,国4,27.44万,9.2
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2012年10月,4.70万公里,国4,21.69万,8.18
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年7月,6.00万公里,国4,25.81万,8.3
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年7月,6.10万公里,国4,27.87万,9.98
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年4月,15.00万公里,国2,21.69万,2.5
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年11月,5.80万公里,国4,23.64万,9.58
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2013年9月,5.00万公里,国4,27.87万,10.8
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年6月,6.41万公里,国4,16.49万,7.5
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年6月,6.41万公里,国4,16.49万,7.5
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2014年7月,5.20万公里,国4,17.68万,9.5
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年3月,10.40万公里,国4,27.87万,9.58
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2015年2月,3.00万公里,国4,17.68万,10.88
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2012年9月,6.00万公里,国4,17.68万,7.8
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2012年12月,6.80万公里,国4,17.68万,7.88
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年12月,6.90万公里,国4,16.49万,7.89
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年7月,4.20万公里,国4,27.87万,12
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年11月,11.00万公里,国2,21.69万,2.15
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2011年6月,6.77万公里,国4,21.69万,8.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2011年6月,6.77万公里,国4,21.69万,8.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年3月,8.47万公里,国4,25.81万,9.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 至尊型 国4,2013年5月,6.30万公里,国4,27.44万,10.3
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 长轴,2014年6月,8.00万公里,国4,9.42万,4.99
福田,风景 2011款 2.0L 经典型 汽油4G63S4M 短轴低顶,2011年6月,9.40万公里,国4,暂无,3.1
福田,蒙派克E 2012款 财富快车 2.0L 手动 舒适版 汽油 长轴,2012年2月,6.90万公里,国4,暂无,3.9
福田,风景 2014款 2.0L 手动 经典型 汽油 长轴,2014年8月,5.20万公里,国4,6.82万,4.58
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年2月,6.90万公里,国4,9.75万,5.55
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 长轴,2014年8月,5.60万公里,国4,9.42万,5.46
福田,蒙派克E 2016款 快运版 2.0L 手动 4G63 高顶型,2016年6月,2.45万公里,国5,8.68万,6.26
福田,风景 2012款 2.0L 486EQV4 汽油 长轴高顶 6座 标准版,2012年5月,6.80万公里,国4,8.63万,2.88
福田,风景 2010款 2.0L 经典型 柴油4D20 短轴低顶,2011年10月,8.30万公里,国3,7.90万,2.58
福田,风景 2012款 2.0L 手动 经典型 汽油 VVT 短轴,2013年6月,6.00万公里,国4,6.46万,2.98
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年7月,5.00万公里,国4,9.75万,5.39
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年2月,6.80万公里,国4,9.75万,5.56
福田,风景 2010款 2.0L 经典型 柴油4D20 短轴低顶,2012年11月,9.30万公里,国3,7.90万,3.4
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 VVT 长轴,2014年10月,4.10万公里,国4,9.75万,5.4
